id	type	modified	license	rightsHolder	bibliographicCitation	references	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	individualCount	sex	lifeStage	occurrenceStatus	associatedMedia	associatedOccurrences	associatedReferences	occurrenceRemarks	organismID	organismRemarks	preparations	eventDate	eventTime	year	month	day	verbatimEventDate	habitat	samplingProtocol	samplingEffort	waterBody	islandGroup	island	country	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	minimumDepthInMeters	maximumDepthInMeters	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	verbatimCoordinates	verbatimCoordinateSystem	verbatimSRS	footprintWKT	georeferencedBy	georeferencedDate	georeferenceProtocol	identificationQualifier	typeStatus	identifiedBy	dateIdentified	identificationRemarks	scientificNameID	scientificName	kingdom	phylum	class	order	family	genus	subgenus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	taxonRemarks
502_1547	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_1547	502_1547	502_1547		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				2004-07-20		2004	7	20	2004-07-20 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.865167	-75.450617	EPSG:4326	0.11	1e-06				POINT(-75.450617 37.865167)		2004-07-20					2004-07-20	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137111	Tursiops truncatus	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops		truncatus		Species	(Montagu, 1821)	Common bottlenose dolphin	WoRMS LSID	valid	Taxon recorded as "bottlenose dolphin" by the provider
502_1569	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_1569	502_1569	502_1569		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				2004-11-06		2004	11	6	2004-11-06 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.865170	-75.450620	EPSG:4326	0.11	1e-06				POINT(-75.45062 37.86517)		2004-11-06					2004-11-06	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137094	Delphinus delphis	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Delphinus		delphis		Species	Linnaeus, 1758	Short-beaked common dolphin	WoRMS LSID	valid	Taxon recorded as "common dolphin" by the provider
502_810	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_810	502_810	502_810		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				1993-04-22		1993	4	22	1993-04-22 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.869444	-75.452778	EPSG:4326	0.11	1e-06				POINT(-75.452778 37.869444)		1993-04-22					1993-04-22	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137117	Phocoena phocoena	Animalia	Chordata	Mammalia	Cetacea	Phocoenidae	Phocoena		phocoena		Species	(Linnaeus, 1758)	Harbor porpoise	WoRMS LSID	valid	Taxon recorded as "harbor porpoise" by the provider
502_809	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_809	502_809	502_809		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				1993-04-22		1993	4	22	1993-04-22 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.869444	-75.452778	EPSG:4326	0.11	1e-06				POINT(-75.452778 37.869444)		1993-04-22					1993-04-22	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137117	Phocoena phocoena	Animalia	Chordata	Mammalia	Cetacea	Phocoenidae	Phocoena		phocoena		Species	(Linnaeus, 1758)	Harbor porpoise	WoRMS LSID	valid	Taxon recorded as "harbor porpoise" by the provider
502_50	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_50	502_50	502_50		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				2005-05-21		2005	5	21	2005-05-21 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.660400	-75.591760	EPSG:4326	0.11	1e-06				POINT(-75.59176 37.6604)		2005-05-21					2005-05-21	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137111	Tursiops truncatus	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops		truncatus		Species	(Montagu, 1821)	Common bottlenose dolphin	WoRMS LSID	valid	Taxon recorded as "bottlenose dolphin" by the provider
502_252	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_252	502_252	502_252		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				1998-10-07		1998	10	7	1998-10-07 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													36.549490	-75.867230	EPSG:4326	0.11	1e-06				POINT(-75.86723 36.54949)		1998-10-07					1998-10-07	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:159023	Eubalaena glacialis	Animalia	Chordata	Mammalia	Cetacea	Balaenidae	Eubalaena		glacialis		Species	(Müller, 1776)	North Atlantic right whale	WoRMS LSID	valid	Taxon recorded as "northern right whale" by the provider
502_969	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_969	502_969	502_969		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				1995-07-14		1995	7	14	1995-07-14 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													36.726111	-75.922222	EPSG:4326	0.11	1e-06				POINT(-75.922222 36.726111)		1995-07-14					1995-07-14	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137111	Tursiops truncatus	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops		truncatus		Species	(Montagu, 1821)	Common bottlenose dolphin	WoRMS LSID	valid	Taxon recorded as "bottlenose dolphin" by the provider
502_41	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_41	502_41	502_41		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				2005-05-12		2005	5	12	2005-05-12 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.800980	-75.516970	EPSG:4326	0.11	1e-06				POINT(-75.51697 37.80098)		2005-05-12					2005-05-12	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137117	Phocoena phocoena	Animalia	Chordata	Mammalia	Cetacea	Phocoenidae	Phocoena		phocoena		Species	(Linnaeus, 1758)	Harbor porpoise	WoRMS LSID	valid	Taxon recorded as "harbor porpoise" by the provider
502_1433	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_1433	502_1433	502_1433		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				2003-12-18		2003	12	18	2003-12-18 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													36.577560	-75.877190	EPSG:4326	0.11	1e-06				POINT(-75.87719 36.57756)		2003-12-18					2003-12-18	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137084	Phoca vitulina	Animalia	Chordata	Mammalia	Carnivora	Phocidae	Phoca		vitulina		Species	Linnaeus, 1758	Harbor seal	WoRMS LSID	valid	Taxon recorded as "harbor seal" by the provider
502_687	Event	2009-04-24 11:28:39	http://creativecommons.org/licenses/by-nc/4.0/	VAQ	[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach. 2009. OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions. Oceanography 22(2):104-115		502	VAQ	502	Virginia Aquarium Marine Mammal Strandings 1988-2008	VAQ	HumanObservation		502_687	502_687	502_687		1			present			[{"crossref":{"citeinfo":{"origin":"Halpin, P.N., A.J. Read, E. Fujioka, B.D. Best, B. Donnelly, L.J. Hazen, C. Kot, K. Urian, E. LaBrecque, A. Dimatteo, J. Cleary, C. Good, L.B. Crowder, and K.D. Hyrenbach","pubdate":"2009","title_html":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","title":"OBIS-SEAMAP: The world data center for marine mammal, sea bird, and sea turtle distributions","serinfo":{"sername":"Oceanography","issue":"22(2):104-115"},"onlink":"http:\/\/www.tos.org\/oceanography\/article\/obis-seamap-the-world-data-center-for-marine-mammal-sea-bird-and-sea-turtle"}}}]	Visual; shore				2008-07-13		2008	7	13	2008-07-13 00:00:00				Virginia,Chesapeake Bay,Mid Atlantic													37.869030	-75.440920	EPSG:4326	0.11	1e-06				POINT(-75.44092 37.86903)		2008-07-13					2008-07-13	Identification Type:Visual sighting	urn:lsid:marinespecies.org:taxname:137111	Tursiops truncatus	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops		truncatus		Species	(Montagu, 1821)	Common bottlenose dolphin	WoRMS LSID	valid	Taxon recorded as "bottlenose dolphin" by the provider
